792.14 折刀（★） | 多普勒 (崭新出厂)
421.99 折刀（★） | 夜色 (久经沙场)
428.62 折刀（★） | 夜色 (战痕累累)
439.19 折刀（★） | 大马士革钢 (久经沙场)
505.55 折刀（★） | 大马士革钢 (崭新出厂)
674.53 折刀（★） | 屠夫 (久经沙场)
768.66 折刀（★） | 屠夫 (崭新出厂)
690.86 折刀（★） | 屠夫 (略有磨损)
410.29 折刀（★） | 枯焦之色 (战痕累累)
429.08 折刀（★） | 枯焦之色 (略有磨损)
427.88 折刀（★） | 枯焦之色 (破损不堪)
424.60 折刀（★） | 森林 DDPAT (久经沙场)
755.08 折刀（★） | 深红之网 (略有磨损)
943.93 折刀（★） | 渐变之色 (崭新出厂)
767.92 折刀（★） | 渐变大理石 (崭新出厂)
399.38 折刀（★） | 狩猎网格 (久经沙场)
468.89 折刀（★） | 致命紫罗兰 (久经沙场)
437.45 折刀（★） | 致命紫罗兰 (战痕累累)
539.47 折刀（★） | 致命紫罗兰 (略有磨损)
481.73 折刀（★） | 蓝钢 (略有磨损)
451.56 折刀（★） | 蓝钢 (破损不堪)
666.44 折刀（★） | 虎牙 (崭新出厂)
609.57 折刀（★） | 表面淬火 (久经沙场)
1875.49 折刀（★） | 表面淬火 (崭新出厂)
575.46 折刀（★） | 表面淬火 (战痕累累)
690.99 折刀（★） | 表面淬火 (略有磨损)
559.67 折刀（★） | 表面淬火 (破损不堪)
1289.46 折叠刀（★ StatTrak™）
1887.80 折叠刀（★ StatTrak™） | 传说 (久经沙场)
3357.61 折叠刀（★ StatTrak™） | 传说 (崭新出厂)
2864.44 折叠刀（★ StatTrak™） | 传说 (略有磨损)
3842.09 折叠刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
2173.78 折叠刀（★ StatTrak™） | 多普勒 (崭新出厂)
1016.45 折叠刀（★ StatTrak™） | 大马士革钢 (久经沙场)
2296.24 折叠刀（★ StatTrak™） | 屠夫 (略有磨损)
811.67 折叠刀（★ StatTrak™） | 枯焦之色 (久经沙场)
870.14 折叠刀（★ StatTrak™） | 森林 DDPAT (久经沙场)
4342.69 折叠刀（★ StatTrak™） | 渐变之色 (崭新出厂)
1142.48 折叠刀（★ StatTrak™） | 澄澈之水 (久经沙场)
1397.90 折叠刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
1330.47 折叠刀（★ StatTrak™） | 澄澈之水 (略有磨损)
1759.75 折叠刀（★ StatTrak™） | 自动化 (久经沙场)
2392.01 折叠刀（★ StatTrak™） | 自动化 (略有磨损)
2164.08 折叠刀（★ StatTrak™） | 致命紫罗兰 (略有磨损)
1471.76 折叠刀（★ StatTrak™） | 蓝钢 (略有磨损)
2066.88 折叠刀（★ StatTrak™） | 虎牙 (崭新出厂)
1382.05 折叠刀（★ StatTrak™） | 表面淬火 (久经沙场)
1241.23 折叠刀（★ StatTrak™） | 黑色层压板 (战痕累累)
3402.70 折叠刀（★ StatTrak™） | 黑色层压板 (略有磨损)
1685.43 折叠刀（★ StatTrak™） | 黑色层压板 (破损不堪)
1215.80 折叠刀（★）
846.33 折叠刀（★） | 人工染色 (久经沙场)
927.81 折叠刀（★） | 人工染色 (略有磨损)
1841.90 折叠刀（★） | 传说 (久经沙场)
3027.14 折叠刀（★） | 传说 (崭新出厂)
1624.15 折叠刀（★） | 传说 (破损不堪)
2561.26 折叠刀（★） | 伽玛多普勒 (崭新出厂)
779.30 折叠刀（★） | 北方森林 (久经沙场)
830.27 折叠刀（★） | 北方森林 (战痕累累)
809.13 折叠刀（★） | 北方森林 (略有磨损)
969.22 折叠刀（★） | 噩梦之夜 (久经沙场)
770.13 折叠刀（★） | 外表生锈 (战痕累累)
1078.40 折叠刀（★） | 外表生锈 (破损不堪)
1983.19 折叠刀（★） | 多普勒 (崭新出厂)
935.57 折叠刀（★） | 大马士革钢 (久经沙场)
1002.60 折叠刀（★） | 大马士革钢 (略有磨损)
1032.30 折叠刀（★） | 大马士革钢 (破损不堪)
2148.36 折叠刀（★） | 屠夫 (崭新出厂)
1906.86 折叠刀（★） | 屠夫 (略有磨损)
684.43 折叠刀（★） | 枯焦之色 (久经沙场)
738.49 折叠刀（★） | 枯焦之色 (战痕累累)
986.81 折叠刀（★） | 枯焦之色 (略有磨损)
1699.68 折叠刀（★） | 深红之网 (久经沙场)
1336.56 折叠刀（★） | 深红之网 (战痕累累)
6447.10 折叠刀（★） | 深红之网 (略有磨损)
3519.37 折叠刀（★） | 渐变之色 (崭新出厂)
2671.44 折叠刀（★） | 渐变大理石 (崭新出厂)
3206.29 折叠刀（★） | 渐变大理石 (略有磨损)
1065.02 折叠刀（★） | 澄澈之水 (久经沙场)
1301.37 折叠刀（★） | 澄澈之水 (崭新出厂)
1038.32 折叠刀（★） | 澄澈之水 (破损不堪)
739.89 折叠刀（★） | 狩猎网格 (久经沙场)
795.89 折叠刀（★） | 狩猎网格 (战痕累累)
728.65 折叠刀（★） | 狩猎网格 (略有磨损)
1550.63 折叠刀（★） | 自动化 (久经沙场)
5687.92 折叠刀（★） | 自动化 (崭新出厂)
1292.20 折叠刀（★） | 自动化 (战痕累累)
1896.16 折叠刀（★） | 自动化 (略有磨损)
1086.49 折叠刀（★） | 自由之手 (久经沙场)
1207.84 折叠刀（★） | 自由之手 (崭新出厂)
1030.23 折叠刀（★） | 自由之手 (略有磨损)
959.85 折叠刀（★） | 致命紫罗兰 (久经沙场)
1353.68 折叠刀（★） | 致命紫罗兰 (略有磨损)
1028.89 折叠刀（★） | 致命紫罗兰 (破损不堪)
1043.07 折叠刀（★） | 蓝钢 (战痕累累)
944.27 折叠刀（★） | 蓝钢 (破损不堪)
1992.56 折叠刀（★） | 虎牙 (崭新出厂)
1324.31 折叠刀（★） | 表面淬火 (久经沙场)
2963.85 折叠刀（★） | 表面淬火 (崭新出厂)
1276.75 折叠刀（★） | 表面淬火 (略有磨损)
1275.68 折叠刀（★） | 表面淬火 (破损不堪)
754.48 折叠刀（★） | 都市伪装 (战痕累累)
1078.80 折叠刀（★） | 黑色层压板 (久经沙场)
1537.32 折叠刀（★） | 黑色层压板 (崭新出厂)
977.58 折叠刀（★） | 黑色层压板 (战痕累累)
1265.18 折叠刀（★） | 黑色层压板 (略有磨损)
1188.31 折叠刀（★） | 黑色层压板 (破损不堪)
1213.60 暗影双匕（★ StatTrak™）
1066.69 暗影双匕（★ StatTrak™） | 传说 (战痕累累)
1215.07 暗影双匕（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
499.13 暗影双匕（★ StatTrak™） | 外表生锈 (战痕累累)
572.05 暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场)
1086.89 暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂)
1756.88 暗影双匕（★ StatTrak™） | 渐变之色 (崭新出厂)
1096.73 暗影双匕（★ StatTrak™） | 渐变大理石 (崭新出厂)
572.71 暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场)
670.25 暗影双匕（★ StatTrak™） | 致命紫罗兰 (久经沙场)
560.07 暗影双匕（★ StatTrak™） | 黑色层压板 (久经沙场)
859.31 暗影双匕（★ StatTrak™） | 黑色层压板 (略有磨损)
725.71 暗影双匕（★）
498.72 暗影双匕（★） | 人工染色 (久经沙场)
785.05 暗影双匕（★） | 人工染色 (崭新出厂)
545.29 暗影双匕（★） | 人工染色 (略有磨损)
466.68 暗影双匕（★） | 人工染色 (破损不堪)
812.68 暗影双匕（★） | 传说 (久经沙场)
1008.62 暗影双匕（★） | 传说 (略有磨损)
954.84 暗影双匕（★） | 伽玛多普勒 (崭新出厂)
1372.15 暗影双匕（★） | 伽玛多普勒 (略有磨损)
478.32 暗影双匕（★） | 噩梦之夜 (久经沙场)
523.81 暗影双匕（★） | 噩梦之夜 (略有磨损)
441.53 暗影双匕（★） | 外表生锈 (战痕累累)
500.60 暗影双匕（★） | 外表生锈 (破损不堪)
995.24 暗影双匕（★） | 多普勒 (崭新出厂)
503.68 暗影双匕（★） | 大马士革钢 (久经沙场)
569.30 暗影双匕（★） | 大马士革钢 (崭新出厂)
572.98 暗影双匕（★） | 大马士革钢 (略有磨损)
804.78 暗影双匕（★） | 屠夫 (崭新出厂)
707.98 暗影双匕（★） | 屠夫 (略有磨损)
457.25 暗影双匕（★） | 枯焦之色 (战痕累累)
464.87 暗影双匕（★） | 森林 DDPAT (久经沙场)
1162.96 暗影双匕（★） | 森林 DDPAT (崭新出厂)
671.99 暗影双匕（★） | 深红之网 (久经沙场)
869.88 暗影双匕（★） | 深红之网 (略有磨损)
1264.57 暗影双匕（★） | 渐变之色 (崭新出厂)
842.78 暗影双匕（★） | 渐变大理石 (崭新出厂)
1001.20 暗影双匕（★） | 渐变大理石 (略有磨损)
468.89 暗影双匕（★） | 澄澈之水 (久经沙场)
542.21 暗影双匕（★） | 澄澈之水 (崭新出厂)
534.98 暗影双匕（★） | 澄澈之水 (略有磨损)
437.31 暗影双匕（★） | 狩猎网格 (久经沙场)
482.20 暗影双匕（★） | 狩猎网格 (略有磨损)
600.61 暗影双匕（★） | 自动化 (久经沙场)
586.09 暗影双匕（★） | 自动化 (略有磨损)
607.37 暗影双匕（★） | 自由之手 (久经沙场)
703.30 暗影双匕（★） | 自由之手 (崭新出厂)
493.37 暗影双匕（★） | 致命紫罗兰 (久经沙场)
614.06 暗影双匕（★） | 致命紫罗兰 (略有磨损)
789.66 暗影双匕（★） | 虎牙 (崭新出厂)
713.13 暗影双匕（★） | 表面淬火 (久经沙场)
602.95 暗影双匕（★） | 表面淬火 (战痕累累)
792.54 暗影双匕（★） | 表面淬火 (略有磨损)
485.95 暗影双匕（★） | 都市伪装 (战痕累累)
518.46 暗影双匕（★） | 黑色层压板 (久经沙场)
553.78 暗影双匕（★） | 黑色层压板 (略有磨损)
916.44 求生匕首（★ StatTrak™） | 人工染色 (久经沙场)
835.22 求生匕首（★ StatTrak™） | 人工染色 (破损不堪)
725.44 求生匕首（★ StatTrak™） | 北方森林 (久经沙场)
707.98 求生匕首（★ StatTrak™） | 森林 DDPAT (久经沙场)
3101.26 求生匕首（★ StatTrak™） | 渐变之色 (崭新出厂)
644.83 求生匕首（★ StatTrak™） | 狩猎网格 (久经沙场)
1223.04 求生匕首（★ StatTrak™） | 狩猎网格 (略有磨损)
1229.85 求生匕首（★）
754.34 求生匕首（★） | 人工染色 (久经沙场)
878.91 求生匕首（★） | 人工染色 (略有磨损)
727.38 求生匕首（★） | 人工染色 (破损不堪)
598.34 求生匕首（★） | 北方森林 (久经沙场)
686.44 求生匕首（★） | 北方森林 (略有磨损)
672.12 求生匕首（★） | 夜色 (久经沙场)
666.44 求生匕首（★） | 夜色 (战痕累累)
850.62 求生匕首（★） | 夜色 (略有磨损)
1860.77 求生匕首（★） | 屠夫 (崭新出厂)
1607.29 求生匕首（★） | 屠夫 (略有磨损)
581.68 求生匕首（★） | 枯焦之色 (战痕累累)
572.91 求生匕首（★） | 枯焦之色 (略有磨损)
575.93 求生匕首（★） | 枯焦之色 (破损不堪)
587.23 求生匕首（★） | 森林 DDPAT (久经沙场)
559.54 求生匕首（★） | 森林 DDPAT (战痕累累)
690.45 求生匕首（★） | 森林 DDPAT (略有磨损)
1550.63 求生匕首（★） | 深红之网 (久经沙场)
9300.00 求生匕首（★） | 深红之网 (崭新出厂)
2561.93 求生匕首（★） | 深红之网 (略有磨损)
1973.36 求生匕首（★） | 深红之网 (破损不堪)
2800.89 求生匕首（★） | 渐变之色 (崭新出厂)
554.72 求生匕首（★） | 狩猎网格 (久经沙场)
765.71 求生匕首（★） | 蓝钢 (久经沙场)
699.89 求生匕首（★） | 蓝钢 (破损不堪)
890.75 求生匕首（★） | 表面淬火 (战痕累累)
1302.30 求生匕首（★） | 表面淬火 (略有磨损)
929.62 求生匕首（★） | 表面淬火 (破损不堪)
597.62 求生匕首（★） | 都市伪装 (久经沙场)
579.47 求生匕首（★） | 都市伪装 (战痕累累)
728.72 求生匕首（★） | 都市伪装 (略有磨损)
626.97 求生匕首（★） | 都市伪装 (破损不堪)
1752.93 流浪者匕首（★ StatTrak™） | 人工染色 (久经沙场)
