M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)max 2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)buff 1570 735.130
刺刀（★ StatTrak™） | 表面淬火 (久经沙场)max 2546.88 刺刀（★ StatTrak™） | 表面淬火 (久经沙场)igxe 1731.55 815.330
刺刀（★）max 3679.39 刺刀（★）buff 2459.49 1219.900
刺刀（★） | 人工染色 (久经沙场)max 1483.13 刺刀（★） | 人工染色 (久经沙场)buff 1070 413.130
刺刀（★） | 人工染色 (略有磨损)max 1767.71 刺刀（★） | 人工染色 (略有磨损)igxe 1134.00 633.710
刺刀（★） | 传说 (久经沙场)max 3214.38 刺刀（★） | 传说 (久经沙场)buff 2371.77 842.610
刺刀（★） | 传说 (略有磨损)max 5509.32 刺刀（★） | 传说 (略有磨损)buff 3725 1784.320
刺刀（★） | 传说 (破损不堪)max 3869.85 刺刀（★） | 传说 (破损不堪)buff 2034 1835.850
刺刀（★） | 伽玛多普勒 (崭新出厂)max 4153.03 刺刀（★） | 伽玛多普勒 (崭新出厂)igxe 2822.00 1331.030
刺刀（★） | 北方森林 (久经沙场)igxe 835.00 刺刀（★） | 北方森林 (久经沙场)max 1171.05 -336.050
刺刀（★） | 北方森林 (战痕累累)igxe 830.00 刺刀（★） | 北方森林 (战痕累累)max 1107.97 -277.970
刺刀（★） | 北方森林 (略有磨损)buff 980 刺刀（★） | 北方森林 (略有磨损)igxe 1019.87 -39.870
刺刀（★） | 北方森林 (破损不堪)igxe 859.33 刺刀（★） | 北方森林 (破损不堪)max 1206.84 -347.510
刺刀（★） | 噩梦之夜 (久经沙场)igxe 969.00 刺刀（★） | 噩梦之夜 (久经沙场)max 1146.16 -177.160
刺刀（★） | 噩梦之夜 (战痕累累)igxe 999.00 刺刀（★） | 噩梦之夜 (战痕累累)max 1459.58 -460.580
刺刀（★） | 外表生锈 (战痕累累)buff 995.38 刺刀（★） | 外表生锈 (战痕累累)igxe 1022.92 -27.540
刺刀（★） | 多普勒 (崭新出厂)max 3246.43 刺刀（★） | 多普勒 (崭新出厂)buff 2190 1056.430
刺刀（★） | 多普勒 (略有磨损)max 3257.06 刺刀（★） | 多普勒 (略有磨损)igxe 2218.78 1038.280
刺刀（★） | 大马士革钢 (久经沙场)max 1887.33 刺刀（★） | 大马士革钢 (久经沙场)buff 1264 623.330
刺刀（★） | 大马士革钢 (崭新出厂)max 2288.31 刺刀（★） | 大马士革钢 (崭新出厂)buff 1565 723.310
刺刀（★） | 大马士革钢 (略有磨损)max 2417.63 刺刀（★） | 大马士革钢 (略有磨损)buff 1425 992.630
刺刀（★） | 屠夫 (久经沙场)max 2286.58 刺刀（★） | 屠夫 (久经沙场)buff 1684.5 602.080
刺刀（★） | 屠夫 (略有磨损)max 2864.44 刺刀（★） | 屠夫 (略有磨损)buff 2029 835.440
刺刀（★） | 枯焦之色 (久经沙场)igxe 844.00 刺刀（★） | 枯焦之色 (久经沙场)max 1060.00 -216.000
刺刀（★） | 枯焦之色 (战痕累累)igxe 848.90 刺刀（★） | 枯焦之色 (战痕累累)max 1206.91 -358.010
刺刀（★） | 枯焦之色 (略有磨损)igxe 975.00 刺刀（★） | 枯焦之色 (略有磨损)max 1274.27 -299.270
刺刀（★） | 森林 DDPAT (久经沙场)igxe 850.00 刺刀（★） | 森林 DDPAT (久经沙场)max 1208.45 -358.450
刺刀（★） | 森林 DDPAT (略有磨损)buff 955 刺刀（★） | 森林 DDPAT (略有磨损)igxe 1020.00 -65.000
刺刀（★） | 深红之网 (久经沙场)max 1861.91 刺刀（★） | 深红之网 (久经沙场)buff 1334 527.910
刺刀（★） | 深红之网 (战痕累累)max 1921.45 刺刀（★） | 深红之网 (战痕累累)buff 1299.4 622.050
刺刀（★） | 深红之网 (略有磨损)max 3831.45 刺刀（★） | 深红之网 (略有磨损)buff 2323 1508.450
刺刀（★） | 深红之网 (破损不堪)max 3575.17 刺刀（★） | 深红之网 (破损不堪)buff 1294 2281.170
刺刀（★） | 渐变之色 (崭新出厂)max 4651.89 刺刀（★） | 渐变之色 (崭新出厂)buff 3448.5 1203.390
刺刀（★） | 渐变大理石 (崭新出厂)max 4607.20 刺刀（★） | 渐变大理石 (崭新出厂)buff 3040 1567.200
刺刀（★） | 澄澈之水 (久经沙场)max 1546.88 刺刀（★） | 澄澈之水 (久经沙场)buff 1159 387.880
刺刀（★） | 澄澈之水 (崭新出厂)max 2195.53 刺刀（★） | 澄澈之水 (崭新出厂)buff 1559.5 636.030
刺刀（★） | 澄澈之水 (战痕累累)max 2109.96 刺刀（★） | 澄澈之水 (战痕累累)buff 1111 998.960
刺刀（★） | 澄澈之水 (略有磨损)max 1909.67 刺刀（★） | 澄澈之水 (略有磨损)igxe 1339.00 570.670
刺刀（★） | 澄澈之水 (破损不堪)max 1465.27 刺刀（★） | 澄澈之水 (破损不堪)buff 1101 364.270
刺刀（★） | 狩猎网格 (久经沙场)igxe 822.00 刺刀（★） | 狩猎网格 (久经沙场)max 1101.88 -279.880
刺刀（★） | 狩猎网格 (略有磨损)igxe 898.80 刺刀（★） | 狩猎网格 (略有磨损)max 1617.66 -718.860
刺刀（★） | 自动化 (久经沙场)max 2879.56 刺刀（★） | 自动化 (久经沙场)buff 2126.5 753.060
刺刀（★） | 自动化 (崭新出厂)max 6524.30 刺刀（★） | 自动化 (崭新出厂)buff 4000 2524.300
刺刀（★） | 自动化 (战痕累累)max 2613.64 刺刀（★） | 自动化 (战痕累累)buff 1747.5 866.140
刺刀（★） | 自动化 (略有磨损)max 3391.46 刺刀（★） | 自动化 (略有磨损)buff 2628.5 762.960
刺刀（★） | 自由之手 (久经沙场)max 1617.66 刺刀（★） | 自由之手 (久经沙场)buff 1283 334.660
刺刀（★） | 自由之手 (崭新出厂)max 2194.19 刺刀（★） | 自由之手 (崭新出厂)buff 1627 567.190
刺刀（★） | 自由之手 (略有磨损)max 1964.46 刺刀（★） | 自由之手 (略有磨损)igxe 1475.00 489.460
刺刀（★） | 自由之手 (破损不堪)max 1818.56 刺刀（★） | 自由之手 (破损不堪)buff 1110 708.560
刺刀（★） | 致命紫罗兰 (久经沙场)igxe 938.99 刺刀（★） | 致命紫罗兰 (久经沙场)max 1151.85 -212.860
刺刀（★） | 致命紫罗兰 (战痕累累)igxe 925.54 刺刀（★） | 致命紫罗兰 (战痕累累)max 1694.86 -769.320
