824,弯刀（★） | 屠夫 (略有磨损)
419,弯刀（★） | 枯焦之色 (略有磨损)
401.5,弯刀（★） | 森林 DDPAT (久经沙场)
427.5,弯刀（★） | 森林 DDPAT (略有磨损)
679.5,弯刀（★） | 深红之网 (久经沙场)
1085,弯刀（★） | 渐变之色 (崭新出厂)
1074,弯刀（★） | 渐变大理石 (崭新出厂)
504,弯刀（★） | 澄澈之水 (久经沙场)
588,弯刀（★） | 澄澈之水 (崭新出厂)
555,弯刀（★） | 澄澈之水 (略有磨损)
385,弯刀（★） | 狩猎网格 (久经沙场)
398.4,弯刀（★） | 狩猎网格 (战痕累累)
698.5,弯刀（★） | 自动化 (久经沙场)
818,弯刀（★） | 自动化 (略有磨损)
560.5,弯刀（★） | 自由之手 (久经沙场)
683.9,弯刀（★） | 自由之手 (崭新出厂)
608,弯刀（★） | 自由之手 (略有磨损)
595.67,弯刀（★） | 自由之手 (破损不堪)
468.9,弯刀（★） | 致命紫罗兰 (久经沙场)
420,弯刀（★） | 致命紫罗兰 (战痕累累)
598.99,弯刀（★） | 致命紫罗兰 (略有磨损)
459.99,弯刀（★） | 致命紫罗兰 (破损不堪)
529,弯刀（★） | 蓝钢 (略有磨损)
489.99,弯刀（★） | 蓝钢 (破损不堪)
894,弯刀（★） | 虎牙 (崭新出厂)
601,弯刀（★） | 表面淬火 (久经沙场)
1274.97,弯刀（★） | 表面淬火 (崭新出厂)
580,弯刀（★） | 表面淬火 (战痕累累)
686,弯刀（★） | 表面淬火 (略有磨损)
579.47,弯刀（★） | 表面淬火 (破损不堪)
415,弯刀（★） | 都市伪装 (久经沙场)
400,弯刀（★） | 都市伪装 (战痕累累)
474.5,弯刀（★） | 都市伪装 (略有磨损)
400,弯刀（★） | 都市伪装 (破损不堪)
460,弯刀（★） | 黑色层压板 (久经沙场)
709.4,弯刀（★） | 黑色层压板 (崭新出厂)
454,弯刀（★） | 黑色层压板 (战痕累累)
490,弯刀（★） | 黑色层压板 (略有磨损)
339.99,折刀（★ StatTrak™） | 北方森林 (久经沙场)
728.93,折刀（★ StatTrak™） | 多普勒 (崭新出厂)
566.65,折刀（★ StatTrak™） | 屠夫 (略有磨损)
353.4,折刀（★ StatTrak™） | 枯焦之色 (久经沙场)
318,折刀（★ StatTrak™） | 森林 DDPAT (久经沙场)
823.99,折刀（★ StatTrak™） | 深红之网 (略有磨损)
730,折刀（★ StatTrak™） | 渐变之色 (崭新出厂)
328.34,折刀（★ StatTrak™） | 狩猎网格 (久经沙场)
522,折刀（★ StatTrak™） | 蓝钢 (战痕累累)
449.99,折刀（★ StatTrak™） | 蓝钢 (略有磨损)
331.8,折刀（★） | 人工染色 (战痕累累)
314.5,折刀（★） | 北方森林 (久经沙场)
312.9,折刀（★） | 外表生锈 (战痕累累)
585,折刀（★） | 多普勒 (崭新出厂)
323,折刀（★） | 夜色 (久经沙场)
313.5,折刀（★） | 夜色 (战痕累累)
330,折刀（★） | 大马士革钢 (久经沙场)
375,折刀（★） | 大马士革钢 (崭新出厂)
485,折刀（★） | 屠夫 (久经沙场)
552,折刀（★） | 屠夫 (崭新出厂)
497.2,折刀（★） | 屠夫 (略有磨损)
